start,dest,longitude0,latitude0,longitude1,latitude1,the_geom,cartodb_id,created_at,updated_at
"6.1089,46.2369","20.97028997,52.1629699",6.1089,46.2369,20.97028997,52.1629699,0102000020E6100000020000003A234A7B836F184011363CBD521E47406DC968EC64F83440BF5D9B32DC144A40,90,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","114.0347238,22.4462143",6.1089,46.2369,114.0347238,22.4462143,0102000020E6100000020000003A234A7B836F184011363CBD521E474024592CEA38825C40EE81B1193B723640,91,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","8.5618685,47.4524688",6.1089,46.2369,8.5618685,47.4524688,0102000020E6100000020000003A234A7B836F184011363CBD521E47401E4E603AAD1F2140ED3A657FEAB94740,92,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"20.8545111,48.6283881","8.5618685,47.4524688",20.8545111,48.6283881,8.5618685,47.4524688,0102000020E610000002000000A9914C3DC1DA3440095971056F5048401E4E603AAD1F2140ED3A657FEAB94740,93,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"-84.5501874,39.2085354","76.932679,31.5469686",-84.5501874,39.2085354,76.932679,31.5469686,0102000020E610000002000000F66A3645362355C07687B949B19A43409FAA4203B13B53405CF05822068C3F40,94,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"-84.5501874,39.2085354","8.5618685,47.4524688",-84.5501874,39.2085354,8.5618685,47.4524688,0102000020E610000002000000F66A3645362355C07687B949B19A43401E4E603AAD1F2140ED3A657FEAB94740,95,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"-82.41423791,22.98738085","8.5618685,47.4524688",-82.41423791,22.98738085,8.5618685,47.4524688,0102000020E610000002000000A80DB9DF829A54C05A72CBFDC4FC36401E4E603AAD1F2140ED3A657FEAB94740,96,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"62.2905676,34.1577182","6.1089,46.2369",62.2905676,34.1577182,6.1089,46.2369,0102000020E6100000020000007CA3B15131254F40F37D271C301441403A234A7B836F184011363CBD521E4740,97,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"62.2905676,34.1577182","8.5618685,47.4524688",62.2905676,34.1577182,8.5618685,47.4524688,0102000020E6100000020000007CA3B15131254F40F37D271C301441401E4E603AAD1F2140ED3A657FEAB94740,98,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"113.9146,22.3089","8.5618685,47.4524688",113.9146,22.3089,8.5618685,47.4524688,0102000020E610000002000000FB3A70CE887A5C4002BC0512144F36401E4E603AAD1F2140ED3A657FEAB94740,99,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"33.7994359,27.1783379","8.5618685,47.4524688",33.7994359,27.1783379,8.5618685,47.4524688,0102000020E610000002000000C9DF62EA53E640402723788DA72D3B401E4E603AAD1F2140ED3A657FEAB94740,100,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"-77.45342419,38.9522097","6.1089,46.2369",-77.45342419,38.9522097,6.1089,46.2369,0102000020E610000002000000FBD0E4E6045D53C08C37E801E27943403A234A7B836F184011363CBD521E4740,101,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"-77.45342419,38.9522097","8.5618685,47.4524688",-77.45342419,38.9522097,8.5618685,47.4524688,0102000020E610000002000000FBD0E4E6045D53C08C37E801E27943401E4E603AAD1F2140ED3A657FEAB94740,102,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
